Outputted Power (kWh),Day of Year,Latitude
1371.2882500880978,1,0
1421.7086437759258,32,0
1476.544837166617,60,0
1480.5472624023098,91,0
1431.7890903197651,121,0
1376.015702134514,152,0
1369.64570654588,182,0
1418.4070621770747,213,0
1474.0693443434554,244,0
1483.3696504658244,274,0
1436.157262955664,305,0
1196.788064447062,1,10
1282.9281749351592,32,10
1406.326248990849,60,10
1495.860262052364,91,10
1521.4136334272475,121,10
1512.7242920708477,152,10
1510.8444165520189,182,10
1520.939005950665,213,10
1505.2747208436092,244,10
1432.878769880298,274,10
1310.5055193199212,305,10
993.7380627719369,1,20
1109.48423334297,32,20
1294.0494675400098,60,20
1466.129971608933,91,20
1568.4330587252734,121,20
1610.92802857053,152,20
1614.0441908117346,182,20
1581.7818383584322,213,20
1491.5670768922337,244,20
1339.0755536996433,274,20
1148.3736955743484,305,20
769.6064879341038,1,30
907.3420761545157,32,30
1143.2318963216849,60,30
1392.323844330318,91,30
1571.997256784204,121,30
1668.876594580568,152,30
1677.4227366055022,182,30
1599.815154389363,213,30
1433.4919985042054,244,30
1204.8462583794494,274,30
955.2213655356951,305,30
534.0464367642738,1,40
684.1452016775678,32,40
958.6816945760203,60,40
1276.8213361281175,91,40
1533.246019559363,121,40
1687.508172131954,152,40
1701.9331302009762,182,40
1576.0669685372454,213,40
1333.0900975015636,244,40
1034.34590765179,274,40
738.0650342119704,305,40
300.47056847352576,1,50
449.8848215998053,32,50
746.4765536760881,60,50
1123.4170091055585,91,50
1456.0125317061782,121,50
1672.1777486641686,152,50
1693.172276772451,182,50
1514.6342365401786,213,50
1193.9886276948148,244,50
832.9137288652951,274,50
505.9387441469077,305,50
92.57718832529764,1,60
219.58096399886145,32,60
514.1612312631114,60,60
937.4349751530019,91,60
1349.1075639395235,121,60
1638.9235668870986,152,60
1668.2803843610677,182,60
1425.7259817699294,213,60
1021.7626601723404,244,60
607.0376434421303,274,60
271.7963348721877,305,60
2.8610884323922987e-13,1,70
28.236364671385225,32,70
272.0741090441487,60,70
726.4925572214171,91,70
1237.673794727117,121,70
1667.2064189371586,152,70
1712.4549576463855,182,70
1342.080402804748,213,70
825.6970838336787,244,70
364.6639624682936,274,70
62.418335793185996,305,70
2.8610884323922987e-13,1,80
2.8610884323922987e-13,32,80
45.007528049114036,60,80
507.06974830186067,91,80
1243.5718253525836,121,80
1747.1613488851635,152,80
1794.571655883229,182,80
1382.8608736146657,213,80
633.8559826439297,244,80
118.57584922101539,274,80
2.8610884323922987e-13,305,80
2.8610884323922987e-13,1,90
2.8610884323922987e-13,32,90
2.8610884323922987e-13,60,90
432.98336550164436,91,90
1262.8106955062717,121,90
1774.0277414605473,152,90
1822.1591901260854,182,90
1404.2335328394608,213,90
612.7315152439141,244,90
2.8610884323922987e-13,274,90
2.8610884323922987e-13,305,90
